Structure,Bond
1,1-6
1,1-2
1,1-20
1,2-3
1,2-21
1,3-4
1,3-22
1,4-10
1,4-5
1,5-6
1,5-7
1,6-23
1,7-8
1,7-11
1,8-9
1,9-10
1,9-24
1,10-32
1,11-12
1,11-25
1,12-13
1,12-26
1,12-27
1,13-18
1,13-14
1,14-15
1,14-28
1,15-16
1,15-29
1,16-17
1,16-19
1,17-18
1,17-30
1,18-31
2,1-6
2,1-2
2,1-20
2,2-3
2,2-21
2,3-4
2,3-22
2,4-10
2,4-5
2,5-6
2,5-7
2,6-23
2,7-8
2,7-11
2,8-9
2,9-10
2,9-24
2,11-12
2,11-25
2,12-13
2,12-26
2,12-27
2,13-18
2,13-14
2,14-15
2,14-28
2,15-16
2,15-29
2,16-17
2,16-19
2,17-18
2,17-30
2,18-31
3,1-6
3,1-2
3,1-20
3,2-3
3,2-21
3,3-4
3,3-22
3,4-10
3,4-5
3,5-6
3,5-7
3,6-23
3,7-8
3,7-11
3,8-9
3,8-32
3,9-10
3,9-24
3,11-12
3,11-25
3,12-13
3,12-26
3,12-27
3,13-18
3,13-14
3,14-15
3,14-28
3,15-16
3,15-29
3,16-17
3,16-19
3,17-18
3,17-30
3,18-31
