Structure,Bond
1,1-6
1,1-2
1,1-19
1,2-3
1,2-20
1,3-4
1,3-21
1,4-10
1,4-5
1,5-6
1,5-7
1,6-22
1,7-8
1,7-11
1,8-9
1,9-10
1,9-23
1,10-29
1,11-12
1,11-24
1,12-17
1,12-13
1,13-14
1,13-25
1,14-15
1,14-26
1,15-16
1,15-27
1,16-17
1,16-18
1,17-28
2,1-6
2,1-2
2,1-19
2,2-3
2,2-20
2,3-4
2,3-21
2,4-10
2,4-5
2,5-6
2,5-7
2,6-22
2,7-8
2,7-11
2,8-9
2,9-10
2,9-23
2,11-12
2,11-24
2,12-17
2,12-13
2,13-14
2,13-25
2,14-15
2,14-26
2,15-16
2,15-27
2,16-17
2,16-18
2,17-28
3,1-6
3,1-2
3,1-19
3,2-3
3,2-20
3,3-4
3,3-21
3,4-10
3,4-5
3,5-6
3,5-7
3,6-22
3,7-8
3,7-11
3,8-9
3,8-29
3,9-10
3,9-23
3,11-12
3,11-24
3,12-17
3,12-13
3,13-14
3,13-25
3,14-15
3,14-26
3,15-16
3,15-27
3,16-17
3,16-18
3,17-28
