Structure,Bond
1,1-6
1,1-2
1,1-23
1,2-3
1,2-24
1,3-4
1,3-25
1,4-5
1,4-7
1,5-6
1,5-26
1,6-27
1,7-8
1,7-9
1,9-10
1,9-28
1,10-11
1,10-29
1,10-30
1,11-12
1,11-13
1,13-14
1,14-22
1,14-15
1,15-16
1,16-21
1,16-17
1,17-18
1,17-31
1,18-19
1,18-32
1,19-20
1,19-33
1,20-21
1,20-34
1,21-22
2,1-6
2,1-2
2,1-23
2,2-3
2,2-24
2,3-4
2,3-25
2,4-5
2,4-7
2,5-6
2,5-26
2,6-27
2,7-8
2,7-9
2,9-10
2,9-28
2,10-11
2,10-29
2,10-30
2,11-12
2,11-13
2,13-14
2,13-31
2,14-22
2,14-15
2,15-16
2,16-21
2,16-17
2,17-18
2,17-32
2,18-19
2,18-33
2,19-20
2,19-34
2,20-21
2,20-35
2,21-22
3,1-6
3,1-2
3,1-23
3,2-3
3,2-24
3,3-4
3,3-25
3,4-5
3,4-7
3,5-6
3,5-26
3,6-27
3,7-8
3,7-9
3,9-10
3,9-28
3,10-11
3,10-29
3,10-30
3,11-12
3,11-13
3,13-14
3,14-22
3,14-15
3,15-16
3,15-35
3,16-21
3,16-17
3,17-18
3,17-31
3,18-19
3,18-32
3,19-20
3,19-33
3,20-21
3,20-34
3,21-22
4,1-6
4,1-2
4,1-23
4,2-3
4,2-24
4,3-4
4,3-25
4,4-5
4,4-7
4,5-6
4,5-26
4,6-27
4,7-8
4,7-9
4,9-10
4,10-11
4,10-28
4,10-29
4,11-12
4,11-13
4,13-14
4,14-22
4,14-15
4,15-16
4,16-21
4,16-17
4,17-18
4,17-30
4,18-19
4,18-31
4,19-20
4,19-32
4,20-21
4,20-33
4,21-22
