Structure,Bond
1,1-2
1,1-23
1,1-24
1,1-25
1,2-7
1,2-3
1,3-4
1,3-26
1,4-5
1,4-27
1,5-12
1,5-6
1,6-7
1,6-8
1,7-28
1,8-9
1,8-17
1,9-10
1,9-13
1,10-11
1,10-12
1,13-14
1,13-29
1,13-30
1,14-15
1,14-16
1,17-22
1,17-18
1,18-19
1,18-31
1,19-20
1,19-32
1,20-21
1,20-33
1,21-22
1,21-34
1,22-35
2,1-2
2,1-24
2,1-25
2,1-26
2,2-7
2,2-3
2,3-4
2,3-27
2,4-5
2,4-28
2,5-12
2,5-6
2,6-7
2,6-8
2,7-29
2,8-9
2,8-17
2,9-10
2,9-13
2,10-11
2,10-12
2,12-23
2,13-14
2,13-30
2,13-31
2,14-15
2,14-16
2,17-22
2,17-18
2,18-19
2,18-32
2,19-20
2,19-33
2,20-21
2,20-34
2,21-22
2,21-35
2,22-36
