Structure,Bond
1,1-2
1,1-24
1,1-25
1,1-26
1,2-7
1,2-3
1,3-4
1,3-27
1,4-5
1,4-28
1,5-12
1,5-6
1,6-7
1,6-8
1,7-29
1,8-9
1,8-17
1,9-10
1,9-13
1,10-11
1,10-12
1,12-23
1,13-14
1,13-30
1,13-31
1,14-15
1,14-16
1,17-22
1,17-18
1,18-19
1,18-32
1,19-20
1,19-33
1,20-21
1,20-34
1,21-22
1,21-35
1,22-36
2,1-2
2,1-24
2,1-25
2,1-26
2,2-7
2,2-3
2,3-4
2,3-27
2,4-5
2,4-28
2,5-12
2,5-6
2,6-7
2,6-8
2,7-29
2,8-9
2,8-17
2,9-10
2,9-13
2,10-11
2,10-12
2,12-23
2,13-14
2,13-30
2,13-31
2,14-15
2,14-16
2,16-32
2,17-22
2,17-18
2,18-19
2,18-33
2,19-20
2,19-34
2,20-21
2,20-35
2,21-22
2,21-36
2,22-37
3,1-2
3,1-23
3,1-24
3,1-25
3,2-7
3,2-3
3,3-4
3,3-26
3,4-5
3,4-27
3,5-12
3,5-6
3,6-7
3,6-8
3,7-28
3,8-9
3,8-17
3,9-10
3,9-13
3,10-11
3,10-12
3,13-14
3,13-29
3,13-30
3,14-15
3,14-16
3,17-22
3,17-18
3,18-19
3,18-31
3,19-20
3,19-32
3,20-21
3,20-33
3,21-22
3,21-34
3,22-35
