Structure,Bond
1,1-2
1,1-30
1,1-31
1,1-32
1,2-3
1,3-8
1,3-4
1,4-5
1,4-33
1,5-6
1,5-34
1,6-7
1,6-9
1,7-8
1,7-35
1,8-36
1,9-17
1,9-10
1,10-15
1,10-11
1,11-12
1,11-26
1,12-13
1,13-14
1,13-37
1,14-15
1,15-16
1,16-17
1,17-18
1,18-23
1,18-19
1,19-20
1,19-38
1,20-21
1,20-39
1,21-22
1,21-24
1,22-23
1,22-40
1,23-41
1,24-25
1,25-42
1,25-43
1,25-44
1,26-27
1,26-45
1,27-28
1,27-46
1,27-47
1,28-29
1,28-48
1,28-49
1,29-50
2,1-2
2,1-30
2,1-31
2,1-32
2,2-3
2,3-8
2,3-4
2,4-5
2,4-33
2,5-6
2,5-34
2,6-7
2,6-9
2,7-8
2,7-35
2,8-36
2,9-17
2,9-10
2,10-15
2,10-11
2,11-12
2,11-26
2,12-13
2,13-14
2,13-37
2,14-15
2,14-51
2,15-16
2,16-17
2,17-18
2,18-23
2,18-19
2,19-20
2,19-38
2,20-21
2,20-39
2,21-22
2,21-24
2,22-23
2,22-40
2,23-41
2,24-25
2,25-42
2,25-43
2,25-44
2,26-27
2,26-45
2,27-28
2,27-46
2,27-47
2,28-29
2,28-48
2,28-49
2,29-50
3,1-2
3,1-30
3,1-31
3,1-32
3,2-3
3,3-8
3,3-4
3,4-5
3,4-33
3,5-6
3,5-34
3,6-7
3,6-9
3,7-8
3,7-35
3,8-36
3,9-17
3,9-10
3,10-15
3,10-11
3,11-12
3,11-26
3,12-13
3,13-14
3,13-37
3,14-15
3,14-50
3,15-16
3,16-17
3,17-18
3,18-23
3,18-19
3,19-20
3,19-38
3,20-21
3,20-39
3,21-22
3,21-24
3,22-23
3,22-40
3,23-41
3,24-25
3,25-42
3,25-43
3,25-44
3,26-27
3,26-51
3,27-28
3,27-45
3,27-46
3,28-29
3,28-47
3,28-48
3,29-49
4,1-2
4,1-30
4,1-31
4,1-32
4,2-3
4,3-8
4,3-4
4,4-5
4,4-33
4,5-6
4,5-34
4,6-7
4,6-9
4,7-8
4,7-35
4,8-36
4,9-17
4,9-10
4,10-15
4,10-11
4,11-12
4,11-26
4,12-13
4,13-14
4,13-37
4,14-15
4,15-16
4,16-17
4,17-18
4,18-23
4,18-19
4,19-20
4,19-38
4,20-21
4,20-39
4,21-22
4,21-24
4,22-23
4,22-40
4,23-41
4,24-25
4,25-42
4,25-43
4,25-44
4,26-27
4,27-28
4,27-45
4,27-46
4,28-29
4,28-47
4,28-48
4,29-49
5,1-2
5,1-30
5,1-31
5,1-32
5,2-3
5,3-8
5,3-4
5,4-5
5,4-33
5,5-6
5,5-34
5,6-7
5,6-9
5,7-8
5,7-35
5,8-36
5,9-17
5,9-10
5,10-15
5,10-11
5,11-12
5,11-26
5,12-13
5,12-51
5,13-14
5,13-37
5,14-15
5,15-16
5,16-17
5,17-18
5,18-23
5,18-19
5,19-20
5,19-38
5,20-21
5,20-39
5,21-22
5,21-24
5,22-23
5,22-40
5,23-41
5,24-25
5,25-42
5,25-43
5,25-44
5,26-27
5,26-45
5,27-28
5,27-46
5,27-47
5,28-29
5,28-48
5,28-49
5,29-50
