Structure,Bond
1,1-2
1,1-30
1,1-31
1,1-32
1,2-3
1,3-8
1,3-4
1,4-5
1,4-33
1,5-6
1,5-34
1,6-7
1,6-9
1,7-8
1,7-35
1,8-36
1,9-17
1,9-10
1,10-15
1,10-11
1,11-12
1,11-26
1,12-13
1,13-14
1,13-37
1,14-15
1,15-16
1,16-17
1,17-18
1,18-23
1,18-19
1,19-20
1,19-38
1,20-21
1,20-39
1,21-22
1,21-24
1,22-23
1,22-40
1,23-41
1,24-25
1,25-42
1,25-43
1,25-44
1,26-27
1,26-45
1,27-28
1,27-46
1,27-47
1,28-29
1,28-48
1,28-49
1,29-50
2,1-2
2,1-30
2,1-31
2,1-32
2,2-3
2,3-8
2,3-4
2,4-5
2,4-33
2,5-6
2,5-34
2,6-7
2,6-9
2,7-8
2,7-35
2,8-36
2,9-17
2,9-10
2,10-15
2,10-11
2,11-12
2,11-26
2,12-13
2,13-14
2,13-37
2,14-15
2,15-16
2,16-17
2,17-18
2,18-23
2,18-19
2,19-20
2,19-38
2,20-21
2,20-39
2,21-22
2,21-24
2,22-23
2,22-40
2,23-41
2,24-25
2,25-42
2,25-43
2,25-44
2,26-27
2,27-28
2,27-45
2,27-46
2,28-29
2,28-47
2,28-48
2,29-49
