Structure,Bond
1,1-6
1,1-2
1,1-25
1,2-3
1,2-26
1,3-4
1,3-17
1,4-5
1,4-27
1,5-6
1,5-7
1,6-28
1,7-8
1,8-9
1,8-29
1,8-30
1,9-14
1,9-10
1,10-11
1,10-31
1,11-12
1,11-32
1,12-13
1,12-16
1,13-14
1,13-33
1,14-15
1,17-18
1,17-34
1,18-24
1,18-19
1,19-20
1,19-21
1,21-22
1,22-23
1,22-24
2,1-6
2,1-2
2,1-25
2,2-3
2,2-26
2,3-4
2,3-17
2,4-5
2,4-27
2,5-6
2,5-7
2,6-28
2,7-8
2,8-9
2,8-29
2,8-30
2,9-14
2,9-10
2,10-11
2,10-31
2,11-12
2,11-32
2,12-13
2,12-16
2,13-14
2,13-33
2,14-15
2,17-18
2,17-34
2,18-24
2,18-19
2,19-20
2,19-21
2,21-22
2,21-35
2,22-23
2,22-24
