Structure,Bond
1,1-2
1,1-20
1,1-21
1,1-22
1,2-3
1,3-8
1,3-4
1,4-5
1,4-23
1,5-6
1,5-24
1,6-7
1,6-25
1,7-8
1,7-9
1,8-26
1,9-10
1,9-27
1,10-19
1,10-11
1,11-16
1,11-12
1,12-13
1,12-28
1,13-14
1,13-29
1,14-15
1,14-30
1,15-16
1,15-31
1,16-17
1,17-18
1,18-19
1,18-32
2,1-2
2,1-20
2,1-21
2,1-22
2,2-3
2,3-8
2,3-4
2,4-5
2,4-23
2,5-6
2,5-24
2,6-7
2,6-25
2,7-8
2,7-9
2,8-26
2,9-10
2,9-27
2,10-19
2,10-11
2,11-16
2,11-12
2,12-13
2,12-28
2,13-14
2,13-29
2,14-15
2,14-30
2,15-16
2,15-31
2,16-17
2,17-18
2,17-33
2,18-19
2,18-32
3,1-2
3,1-20
3,1-21
3,1-22
3,2-3
3,3-8
3,3-4
3,4-5
3,4-23
3,5-6
3,5-24
3,6-7
3,6-25
3,7-8
3,7-9
3,8-26
3,9-10
3,9-27
3,10-19
3,10-11
3,11-16
3,11-12
3,12-13
3,12-28
3,13-14
3,13-29
3,14-15
3,14-30
3,15-16
3,15-31
3,16-17
3,17-18
3,18-19
3,18-32
3,19-33
