Structure,Bond
1,1-6
1,1-2
1,1-19
1,2-3
1,2-20
1,3-4
1,3-21
1,4-5
1,4-7
1,5-6
1,5-22
1,6-23
1,7-8
1,7-24
1,7-25
1,8-9
1,8-26
1,9-18
1,9-10
1,10-15
1,10-11
1,11-12
1,11-27
1,12-13
1,12-28
1,13-14
1,13-29
1,14-15
1,14-30
1,15-16
1,16-17
1,16-32
1,17-18
1,17-31
2,1-6
2,1-2
2,1-19
2,2-3
2,2-20
2,3-4
2,3-21
2,4-5
2,4-7
2,5-6
2,5-22
2,6-23
2,7-8
2,7-24
2,7-25
2,8-9
2,8-26
2,9-18
2,9-10
2,10-15
2,10-11
2,11-12
2,11-27
2,12-13
2,12-28
2,13-14
2,13-29
2,14-15
2,14-30
2,15-16
2,16-17
2,17-18
2,17-31
2,18-32
3,1-6
3,1-2
3,1-19
3,2-3
3,2-20
3,3-4
3,3-21
3,4-5
3,4-7
3,5-6
3,5-22
3,6-23
3,7-8
3,7-24
3,7-25
3,8-9
3,8-26
3,9-18
3,9-10
3,10-15
3,10-11
3,11-12
3,11-27
3,12-13
3,12-28
3,13-14
3,13-29
3,14-15
3,14-30
3,15-16
3,16-17
3,17-18
3,17-31
