Structure,Bond
1,1-2
1,1-23
1,1-24
1,1-25
1,2-7
1,2-3
1,3-4
1,3-26
1,4-5
1,4-27
1,5-6
1,5-28
1,6-7
1,6-8
1,7-29
1,8-9
1,8-30
1,9-18
1,9-10
1,10-15
1,10-11
1,11-12
1,11-31
1,12-13
1,12-21
1,13-14
1,13-19
1,14-15
1,14-32
1,15-16
1,16-17
1,16-40
1,17-18
1,17-33
1,19-20
1,20-34
1,20-35
1,20-36
1,21-22
1,22-37
1,22-38
1,22-39
2,1-2
2,1-23
2,1-24
2,1-25
2,2-7
2,2-3
2,3-4
2,3-26
2,4-5
2,4-27
2,5-6
2,5-28
2,6-7
2,6-8
2,7-29
2,8-9
2,8-30
2,9-18
2,9-10
2,10-15
2,10-11
2,11-12
2,11-31
2,12-13
2,12-21
2,13-14
2,13-19
2,14-15
2,14-32
2,15-16
2,16-17
2,17-18
2,17-33
2,19-20
2,20-34
2,20-35
2,20-36
2,21-22
2,22-37
2,22-38
2,22-39
3,1-2
3,1-23
3,1-24
3,1-25
3,2-7
3,2-3
3,3-4
3,3-26
3,4-5
3,4-27
3,5-6
3,5-28
3,6-7
3,6-8
3,7-29
3,8-9
3,8-30
3,9-18
3,9-10
3,10-15
3,10-11
3,11-12
3,11-31
3,12-13
3,12-21
3,13-14
3,13-19
3,14-15
3,14-32
3,15-16
3,16-17
3,17-18
3,17-33
3,18-40
3,19-20
3,20-34
3,20-35
3,20-36
3,21-22
3,22-37
3,22-38
3,22-39
