Structure,Bond
1,1-2
1,1-32
1,1-33
1,1-34
1,2-3
1,2-35
1,2-36
1,3-4
1,4-5
1,4-6
1,6-11
1,6-7
1,7-8
1,7-37
1,8-9
1,8-38
1,9-10
1,9-12
1,10-11
1,10-39
1,11-40
1,12-13
1,12-41
1,13-18
1,13-14
1,14-15
1,14-42
1,15-16
1,15-31
1,16-17
1,17-18
1,17-19
1,19-20
1,19-43
1,20-25
1,20-21
1,21-22
1,21-44
1,22-23
1,22-45
1,23-24
1,23-26
1,24-25
1,24-46
1,25-47
1,26-27
1,26-28
1,28-29
1,29-30
1,29-48
1,29-49
1,30-50
1,30-51
1,30-52
1,31-53
1,31-54
1,31-55
2,1-2
2,1-32
2,1-33
2,1-34
2,2-3
2,2-35
2,2-36
2,3-4
2,4-5
2,4-6
2,6-11
2,6-7
2,7-8
2,7-37
2,8-9
2,8-38
2,9-10
2,9-12
2,10-11
2,10-39
2,11-40
2,12-13
2,13-18
2,13-14
2,14-15
2,14-41
2,15-16
2,15-31
2,16-17
2,17-18
2,17-19
2,19-20
2,19-42
2,20-25
2,20-21
2,21-22
2,21-43
2,22-23
2,22-44
2,23-24
2,23-26
2,24-25
2,24-45
2,25-46
2,26-27
2,26-28
2,28-29
2,29-30
2,29-47
2,29-48
2,30-49
2,30-50
2,30-51
2,31-52
2,31-53
2,31-54
