Structure,Bond
1,1-10
1,1-2
1,1-21
1,2-3
1,2-22
1,3-8
1,3-4
1,4-5
1,4-23
1,5-6
1,5-24
1,6-7
1,6-25
1,7-8
1,8-9
1,9-10
1,9-11
1,10-26
1,11-12
1,11-27
1,12-13
1,12-14
1,14-19
1,14-15
1,15-16
1,15-28
1,16-17
1,16-20
1,17-18
1,17-29
1,18-19
1,19-30
2,1-10
2,1-2
2,1-21
2,2-3
2,2-22
2,3-8
2,3-4
2,4-5
2,4-23
2,5-6
2,5-24
2,6-7
2,6-25
2,7-8
2,7-31
2,8-9
2,9-10
2,9-11
2,10-26
2,11-12
2,11-27
2,12-13
2,12-14
2,14-19
2,14-15
2,15-16
2,15-28
2,16-17
2,16-20
2,17-18
2,17-29
2,18-19
2,19-30
3,1-10
3,1-2
3,1-21
3,2-3
3,2-22
3,3-8
3,3-4
3,4-5
3,4-23
3,5-6
3,5-24
3,6-7
3,6-25
3,7-8
3,8-9
3,9-10
3,9-11
3,10-26
3,11-12
3,11-27
3,12-13
3,12-14
3,14-19
3,14-15
3,15-16
3,15-28
3,16-17
3,16-20
3,17-18
3,17-29
3,18-19
3,18-31
3,19-30
4,1-10
4,1-2
4,1-21
4,2-3
4,2-22
4,3-8
4,3-4
4,4-5
4,4-23
4,5-6
4,5-24
4,6-7
4,6-25
4,7-8
4,7-31
4,8-9
4,9-10
4,9-11
4,10-26
4,11-12
4,11-27
4,12-13
4,12-14
4,14-19
4,14-15
4,15-16
4,15-28
4,16-17
4,16-20
4,17-18
4,17-29
4,18-19
4,18-32
4,19-30
5,1-10
5,1-2
5,1-21
5,2-3
5,2-22
5,3-8
5,3-4
5,4-5
5,4-23
5,5-6
5,5-24
5,6-7
5,6-25
5,7-8
5,7-30
5,8-9
5,9-10
5,9-11
5,10-26
5,11-12
5,12-13
5,12-14
5,14-19
5,14-15
5,15-16
5,15-27
5,16-17
5,16-20
5,17-18
5,17-28
5,18-19
5,19-29
