Structure,Bond
1,1-2
1,1-25
1,1-26
1,1-27
1,2-3
1,2-28
1,2-29
1,3-4
1,4-9
1,4-5
1,5-6
1,5-30
1,6-7
1,6-31
1,7-12
1,7-8
1,8-9
1,8-10
1,9-32
1,10-11
1,11-12
1,11-13
1,12-38
1,13-14
1,14-15
1,14-16
1,16-17
1,16-33
1,16-34
1,17-22
1,17-18
1,18-19
1,18-35
1,19-20
1,19-36
1,20-21
1,20-24
1,21-22
1,21-23
1,22-37
2,1-2
2,1-25
2,1-26
2,1-27
2,2-3
2,2-28
2,2-29
2,3-4
2,4-9
2,4-5
2,5-6
2,5-30
2,6-7
2,6-31
2,7-12
2,7-8
2,8-9
2,8-10
2,9-32
2,10-11
2,11-12
2,11-13
2,13-14
2,13-33
2,14-15
2,14-16
2,16-17
2,16-34
2,16-35
2,17-22
2,17-18
2,18-19
2,18-36
2,19-20
2,19-37
2,20-21
2,20-24
2,21-22
2,21-23
2,22-38
3,1-2
3,1-25
3,1-26
3,1-27
3,2-3
3,2-28
3,2-29
3,3-4
3,4-9
3,4-5
3,5-6
3,5-30
3,6-7
3,6-31
3,7-12
3,7-8
3,8-9
3,8-10
3,9-32
3,10-11
3,11-12
3,11-13
3,12-39
3,13-14
3,13-33
3,14-15
3,14-16
3,16-17
3,16-34
3,16-35
3,17-22
3,17-18
3,18-19
3,18-36
3,19-20
3,19-37
3,20-21
3,20-24
3,21-22
3,21-23
3,22-38
