Structure,Bond
1,1-6
1,1-2
1,1-17
1,2-3
1,2-18
1,3-4
1,3-19
1,4-9
1,4-5
1,5-6
1,5-7
1,6-20
1,7-8
1,8-9
1,8-21
1,9-10
1,10-15
1,10-11
1,11-12
1,11-22
1,12-13
1,12-23
1,13-14
1,13-16
1,14-15
1,14-24
1,15-25
1,16-26
2,1-6
2,1-2
2,1-17
2,2-3
2,2-18
2,3-4
2,3-19
2,4-9
2,4-5
2,5-6
2,5-7
2,6-20
2,7-8
2,8-9
2,8-21
2,9-10
2,10-15
2,10-11
2,11-12
2,11-22
2,12-13
2,12-23
2,13-14
2,13-16
2,14-15
2,14-24
2,15-25
3,1-6
3,1-2
3,1-17
3,2-3
3,2-18
3,3-4
3,3-19
3,4-9
3,4-5
3,5-6
3,5-7
3,6-20
3,7-8
3,7-27
3,8-9
3,8-21
3,9-10
3,10-15
3,10-11
3,11-12
3,11-22
3,12-13
3,12-23
3,13-14
3,13-16
3,14-15
3,14-24
3,15-25
3,16-26
4,1-6
4,1-2
4,1-17
4,2-3
4,2-18
4,3-4
4,3-19
4,4-9
4,4-5
4,5-6
4,5-7
4,6-20
4,7-8
4,7-26
4,8-9
4,8-21
4,9-10
4,10-15
4,10-11
4,11-12
4,11-22
4,12-13
4,12-23
4,13-14
4,13-16
4,14-15
4,14-24
4,15-25
