Structure,Bond
1,1-6
1,1-2
1,1-17
1,2-3
1,2-18
1,3-4
1,3-19
1,4-5
1,4-7
1,5-6
1,5-20
1,6-21
1,7-11
1,7-8
1,8-15
1,8-9
1,9-10
1,9-12
1,10-11
1,10-22
1,12-13
1,12-16
1,13-14
1,13-26
1,14-15
1,14-23
1,16-24
1,16-25
2,1-6
2,1-2
2,1-17
2,2-3
2,2-18
2,3-4
2,3-19
2,4-5
2,4-7
2,5-6
2,5-20
2,6-21
2,7-11
2,7-8
2,8-15
2,8-9
2,9-10
2,9-12
2,10-11
2,10-22
2,12-13
2,12-16
2,13-14
2,14-15
2,14-23
2,16-24
2,16-25
3,1-6
3,1-2
3,1-17
3,2-3
3,2-18
3,3-4
3,3-19
3,4-5
3,4-7
3,5-6
3,5-20
3,6-21
3,7-11
3,7-8
3,8-15
3,8-9
3,9-10
3,9-12
3,10-11
3,10-22
3,12-13
3,12-16
3,13-14
3,14-15
3,14-23
3,15-26
3,16-24
3,16-25
4,1-6
4,1-2
4,1-17
4,2-3
4,2-18
4,3-4
4,3-19
4,4-5
4,4-7
4,5-6
4,5-20
4,6-21
4,7-11
4,7-8
4,8-15
4,8-9
4,9-10
4,9-12
4,10-11
4,10-22
4,11-27
4,12-13
4,12-16
4,13-14
4,13-26
4,14-15
4,14-23
4,16-24
4,16-25
