Structure,Bond
1,1-6
1,1-2
1,1-17
1,2-3
1,2-18
1,3-10
1,3-4
1,4-5
1,4-8
1,5-6
1,5-19
1,6-7
1,8-16
1,8-9
1,9-10
1,9-11
1,11-12
1,11-13
1,13-14
1,13-20
1,14-15
1,14-21
1,14-22
1,15-16
1,15-23
1,15-24
1,16-25
1,16-26
2,1-6
2,1-2
2,1-17
2,2-3
2,2-18
2,3-10
2,3-4
2,4-5
2,4-8
2,5-6
2,5-19
2,6-7
2,7-20
2,8-16
2,8-9
2,9-10
2,9-11
2,11-12
2,11-13
2,13-14
2,13-21
2,14-15
2,14-22
2,14-23
2,15-16
2,15-24
2,15-25
2,16-26
2,16-27
3,1-6
3,1-2
3,1-17
3,2-3
3,2-18
3,3-10
3,3-4
3,4-5
3,4-8
3,5-6
3,5-19
3,6-7
3,7-20
3,8-16
3,8-9
3,9-10
3,9-11
3,11-12
3,11-13
3,13-14
3,14-15
3,14-21
3,14-22
3,15-16
3,15-23
3,15-24
3,16-25
3,16-26
