,SAMPL6_ID,pH,Epik_Microstate,SAMPL6_Microstate_ID,Log_P
0,SM01,2.0,0,SM01_micro005,-0.0021941492885201542
1,SM01,2.0,1,SM01_micro001,-6.095684284937992
2,SM01,2.1,0,SM01_micro005,-0.0016878071450155034
3,SM01,2.1,1,SM01_micro001,-6.340922663108744
4,SM01,2.2,0,SM01_micro005,-0.0013502457160124027
5,SM01,2.2,1,SM01_micro001,-6.586329821993998
6,SM01,2.3,0,SM01_micro005,-0.001012684287009302
7,SM01,2.3,1,SM01_micro001,-6.831736980879253
8,SM01,2.4,0,SM01_micro005,-0.0008439035725077517
9,SM01,2.4,1,SM01_micro001,-7.077144139764507
10,SM01,2.5,0,SM01_micro005,-0.0006751228580062014
11,SM01,2.5,1,SM01_micro001,-7.322720079364262
12,SM01,2.6,0,SM01_micro005,-0.000506342143504651
13,SM01,2.6,1,SM01_micro001,-7.568296018964018
14,SM01,2.7,0,SM01_micro005,-0.0003375614290031007
15,SM01,2.7,1,SM01_micro001,-7.813871958563774
16,SM01,2.8,0,SM01_micro005,-0.0003375614290031007
17,SM01,2.8,1,SM01_micro001,-8.05944789816353
18,SM01,2.9,0,SM01_micro005,-0.00016878071450155034
19,SM01,2.9,1,SM01_micro001,-8.305023837763287
20,SM01,3.0,0,SM01_micro005,-0.00016878071450155034
21,SM01,3.0,1,SM01_micro001,-8.550768558077543
22,SM01,3.1,0,SM01_micro005,-0.00016878071450155034
23,SM01,3.1,1,SM01_micro001,-8.7963444976773
24,SM01,3.2,0,SM01_micro005,-0.00016878071450155034
25,SM01,3.2,1,SM01_micro001,-9.042089217991556
26,SM01,3.3,0,SM01_micro005,-0.00016878071450155034
27,SM01,3.3,1,SM01_micro001,-9.287833938305814
28,SM01,3.4,0,SM01_micro005,-0.0
29,SM01,3.4,1,SM01_micro001,-9.533409877905568
30,SM01,3.5,0,SM01_micro005,-0.0
31,SM01,3.5,1,SM01_micro001,-9.779154598219826
32,SM01,3.6,0,SM01_micro005,-0.0
33,SM01,3.7,0,SM01_micro005,-0.0
34,SM01,3.8,0,SM01_micro005,-0.0
35,SM01,3.9,0,SM01_micro005,0.0
36,SM01,4.0,0,SM01_micro005,0.0
37,SM01,4.1,0,SM01_micro005,0.0
38,SM01,4.2,0,SM01_micro005,0.0
39,SM01,4.3,0,SM01_micro005,0.0
40,SM01,4.4,0,SM01_micro005,0.0
41,SM01,4.5,0,SM01_micro005,0.0
42,SM01,4.6,0,SM01_micro005,0.0
43,SM01,4.7,0,SM01_micro005,0.0
44,SM01,4.8,0,SM01_micro005,-0.0
45,SM01,4.9,0,SM01_micro005,-0.0
46,SM01,5.0,0,SM01_micro005,-0.0
47,SM01,5.1,0,SM01_micro005,-0.0
48,SM01,5.1,1,SM01_micro004,-9.874853263342205
49,SM01,5.2,0,SM01_micro005,-0.0
50,SM01,5.2,1,SM01_micro004,-9.629108543027948
51,SM01,5.3,0,SM01_micro005,-0.0
52,SM01,5.3,1,SM01_micro004,-9.383532603428192
53,SM01,5.4,0,SM01_micro005,-0.00016878071450155034
54,SM01,5.4,1,SM01_micro004,-9.137787883113935
55,SM01,5.5,0,SM01_micro005,-0.00016878071450155034
56,SM01,5.5,1,SM01_micro004,-8.892043162799677
57,SM01,5.6,0,SM01_micro005,-0.00016878071450155034
58,SM01,5.6,1,SM01_micro004,-8.646467223199922
59,SM01,5.7,0,SM01_micro005,-0.00016878071450155034
60,SM01,5.7,1,SM01_micro004,-8.400722502885664
61,SM01,5.8,0,SM01_micro005,-0.0003375614290031007
62,SM01,5.8,1,SM01_micro004,-8.155146563285909
63,SM01,5.9,0,SM01_micro005,-0.0003375614290031007
64,SM01,5.9,1,SM01_micro004,-7.909570623686153
65,SM01,6.0,0,SM01_micro005,-0.000506342143504651
66,SM01,6.0,1,SM01_micro004,-7.663994684086397
67,SM01,6.1,0,SM01_micro005,-0.0006751228580062014
68,SM01,6.1,1,SM01_micro004,-7.418418744486641
69,SM01,6.2,0,SM01_micro005,-0.0008439035725077517
70,SM01,6.2,1,SM01_micro004,-7.172842804886885
71,SM01,6.3,0,SM01_micro005,-0.001012684287009302
72,SM01,6.3,1,SM01_micro004,-6.92726686528713
73,SM01,6.4,0,SM01_micro005,-0.0011814650015108522
74,SM01,6.4,1,SM01_micro004,-6.681859706401876
75,SM01,6.5,0,SM01_micro005,-0.001519026430513953
76,SM01,6.5,1,SM01_micro004,-6.436452547516621
77,SM01,6.6,0,SM01_micro005,-0.002025368574018604
78,SM01,6.6,1,SM01_micro004,-6.191214169345869
79,SM01,6.7,0,SM01_micro005,-0.0027004914320248054
80,SM01,6.7,1,SM01_micro004,-5.946144571889619
81,SM01,6.8,0,SM01_micro005,-0.003375614290031007
82,SM01,6.8,1,SM01_micro004,-5.7012437551478685
83,SM01,6.9,0,SM01_micro005,-0.004219517862538758
84,SM01,6.9,1,SM01_micro004,-5.456342938406119
85,SM01,7.0,0,SM01_micro005,-0.005400982864049611
86,SM01,7.0,1,SM01_micro004,-5.211948463807874
87,SM01,7.1,0,SM01_micro005,-0.006920009294563564
88,SM01,7.1,1,SM01_micro004,-4.967722769924131
89,SM01,7.2,0,SM01_micro005,-0.008945377868582167
90,SM01,7.2,1,SM01_micro004,-4.72383463746939
91,SM01,7.3,0,SM01_micro005,-0.011308307871603872
92,SM01,7.3,1,SM01_micro004,-4.480621627872657
93,SM01,7.4,0,SM01_micro005,-0.014515141447133329
94,SM01,7.4,1,SM01_micro004,-4.238083741133929
95,SM01,7.5,0,SM01_micro005,-0.018565878595170535
96,SM01,7.5,1,SM01_micro004,-3.996389757967709
97,SM01,7.6,0,SM01_micro005,-0.023629300030217047
98,SM01,7.6,1,SM01_micro004,-3.755877239802999
99,SM01,7.7,0,SM01_micro005,-0.03021174789577751
100,SM01,7.7,1,SM01_micro004,-3.516546186639801
101,SM01,7.8,0,SM01_micro005,-0.038313222191851924
102,SM01,7.8,1,SM01_micro004,-3.27907172133612
103,SM01,7.9,0,SM01_micro005,-0.048777626490948044
104,SM01,7.9,1,SM01_micro004,-3.0439601860354606
105,SM01,8.0,0,SM01_micro005,-0.061942522222068974
106,SM01,8.0,1,SM01_micro004,-2.811380361452324
107,SM01,8.1,0,SM01_micro005,-0.07865181295772246
108,SM01,8.1,1,SM01_micro004,-2.58234493187372
109,SM01,8.2,0,SM01_micro005,-0.09941184084141315
110,SM01,8.2,1,SM01_micro004,-2.3573602394431536
111,SM01,8.3,0,SM01_micro005,-0.1254040708746519
112,SM01,8.3,1,SM01_micro004,-2.1377765298766365
113,SM01,8.4,0,SM01_micro005,-0.15780996805894956
114,SM01,8.4,1,SM01_micro004,-1.924268926032175
115,SM01,8.5,0,SM01_micro005,-0.20625003312089452
116,SM01,8.5,1,SM01_micro004,-1.680380793577435
117,SM01,8.6,0,SM01_micro005,-0.2567154667568581
118,SM01,8.6,1,SM01_micro004,-1.485270287613643
119,SM01,8.7,0,SM01_micro005,-0.31798286612092086
120,SM01,8.7,1,SM01_micro004,-1.3007929666634486
121,SM01,8.8,0,SM01_micro005,-0.3910649155000921
122,SM01,8.8,1,SM01_micro004,-1.1281302957283623
123,SM01,8.9,0,SM01_micro005,-0.47731186061038433
124,SM01,8.9,1,SM01_micro004,-0.9688013012388988
125,SM01,9.0,0,SM01_micro005,-0.5779051664533082
126,SM01,9.0,1,SM01_micro004,-0.8236498867675656
127,SM01,9.1,0,SM01_micro005,-0.6931823944578672
128,SM01,9.1,1,SM01_micro004,-0.6931823944578672
129,SM01,9.2,0,SM01_micro004,-0.5779051664533082
130,SM01,9.2,1,SM01_micro005,-0.8236498867675656
131,SM01,9.3,0,SM01_micro004,-0.4774806413248859
132,SM01,9.3,1,SM01_micro005,-0.9688013012388988
133,SM01,9.3,2,SM01_micro010,-9.938821154138294
134,SM01,9.4,0,SM01_micro004,-0.3910649155000921
135,SM01,9.4,1,SM01_micro005,-1.128299076442864
136,SM01,9.4,2,SM01_micro010,-9.852574209028
137,SM01,9.4,3,SM01_micro002,-9.906752818382998
138,SM01,9.5,0,SM01_micro004,-0.31798286612092086
139,SM01,9.5,1,SM01_micro005,-1.3007929666634486
140,SM01,9.5,2,SM01_micro002,-9.58792604868957
141,SM01,9.5,3,SM01_micro010,-9.779323378934329
142,SM01,9.6,0,SM01_micro004,-0.25688424747135963
143,SM01,9.6,1,SM01_micro005,-1.4854390683281444
144,SM01,9.6,2,SM01_micro002,-9.281082709725752
145,SM01,9.6,3,SM01_micro010,-9.718224760284768
146,SM01,9.7,0,SM01_micro004,-0.20641881383539606
147,SM01,9.7,1,SM01_micro005,-1.6805495742919367
148,SM01,9.7,2,SM01_micro002,-8.984872555775532
149,SM01,9.7,3,SM01_micro010,-9.667759326648802
150,SM01,9.8,0,SM01_micro004,-0.16489875806801466
151,SM01,9.8,1,SM01_micro005,-1.8849430195533141
152,SM01,9.8,2,SM01_micro002,-8.697776560408393
153,SM01,9.8,3,SM01_micro010,-9.626408051595924
154,SM01,9.9,0,SM01_micro004,-0.13131139588220614
155,SM01,9.9,1,SM01_micro005,-2.096931596967261
156,SM01,9.9,2,SM01_micro002,-8.418444477908327
157,SM01,9.9,3,SM01_micro010,-9.592820689410114
158,SM01,10.0,0,SM01_micro004,-0.10430648156195811
159,SM01,10.0,1,SM01_micro005,-2.3156714029612706
160,SM01,10.0,2,SM01_micro002,-8.145694843273823
161,SM01,10.0,3,SM01_micro010,-9.565646994375365
162,SM01,10.1,0,SM01_micro004,-0.08270255010575966
163,SM01,10.1,1,SM01_micro005,-2.539643411104828
164,SM01,10.1,2,SM01_micro002,-7.878346191503366
165,SM01,10.1,3,SM01_micro010,-9.544043062919167
166,SM01,10.2,0,SM01_micro004,-0.06548691722660153
167,SM01,10.2,1,SM01_micro005,-2.768172498539927
168,SM01,10.2,2,SM01_micro002,-7.61538583830995
169,SM01,10.2,3,SM01_micro010,-9.526827430040008
170,SM01,10.3,0,SM01_micro004,-0.05181567935197595
171,SM01,10.3,1,SM01_micro005,-3.000245980979559
172,SM01,10.3,2,SM01_micro002,-7.356138660835569
173,SM01,10.3,3,SM01_micro010,-9.513156192165383
174,SM01,10.4,0,SM01_micro004,-0.04101371362387673
175,SM01,10.4,1,SM01_micro005,-3.2351887355657167
176,SM01,10.4,2,SM01_micro002,-7.0995919747932135
177,SM01,10.4,3,SM01_micro010,-9.502523007151785
178,SM01,10.5,0,SM01_micro004,-0.03274345861330077
179,SM01,10.5,1,SM01_micro005,-3.4724944201548964
180,SM01,10.5,2,SM01_micro002,-6.84557699946838
181,SM01,10.5,3,SM01_micro010,-9.494083971426708
182,SM01,10.6,0,SM01_micro004,-0.026161010747740302
183,SM01,10.6,1,SM01_micro005,-3.7118254733180946
184,SM01,10.6,2,SM01_micro002,-6.593418612003063
185,SM01,10.6,3,SM01_micro010,-9.487670304275648
186,SM01,10.7,0,SM01_micro004,-0.021266370027195343
187,SM01,10.7,1,SM01_micro005,-3.9525067721973057
188,SM01,10.7,2,SM01_micro002,-6.3427792509682615
189,SM01,10.7,3,SM01_micro010,-9.482606882840601
