Structure,Bond
1,1-6
1,1-2
1,1-17
1,2-3
1,2-18
1,3-4
1,3-19
1,4-5
1,4-7
1,5-6
1,5-20
1,6-21
1,7-11
1,7-8
1,8-9
1,8-22
1,9-10
1,10-15
1,10-11
1,11-12
1,12-13
1,12-23
1,13-14
1,13-24
1,14-15
1,14-16
1,15-25
1,16-26
1,16-27
2,1-6
2,1-2
2,1-17
2,2-3
2,2-18
2,3-4
2,3-19
2,4-5
2,4-7
2,5-6
2,5-20
2,6-21
2,7-11
2,7-8
2,8-9
2,8-22
2,9-10
2,9-28
2,10-15
2,10-11
2,11-12
2,12-13
2,12-23
2,13-14
2,13-24
2,14-15
2,14-16
2,15-25
2,16-26
2,16-27
3,1-6
3,1-2
3,1-17
3,2-3
3,2-18
3,3-4
3,3-19
3,4-5
3,4-7
3,5-6
3,5-20
3,6-21
3,7-11
3,7-8
3,8-9
3,8-22
3,9-10
3,10-15
3,10-11
3,11-12
3,12-13
3,12-23
3,13-14
3,13-24
3,14-15
3,14-16
3,15-25
3,16-26
3,16-27
3,16-28
