Structure,Bond
1,1-6
1,1-2
1,1-22
1,2-3
1,2-23
1,3-4
1,3-24
1,4-5
1,4-16
1,5-6
1,5-7
1,6-25
1,7-8
1,7-26
1,8-9
1,8-10
1,10-14
1,10-11
1,11-12
1,11-27
1,12-13
1,12-28
1,13-14
1,13-15
1,16-21
1,16-17
1,16-39
1,17-18
1,17-29
1,17-30
1,18-19
1,18-31
1,18-32
1,19-20
1,19-33
1,19-34
1,20-21
1,20-35
1,20-36
1,21-37
1,21-38
2,1-6
2,1-2
2,1-22
2,2-3
2,2-23
2,3-4
2,3-24
2,4-5
2,4-16
2,5-6
2,5-7
2,6-25
2,7-8
2,7-26
2,8-9
2,8-10
2,9-40
2,10-14
2,10-11
2,11-12
2,11-27
2,12-13
2,12-28
2,13-14
2,13-15
2,16-21
2,16-17
2,16-39
2,17-18
2,17-29
2,17-30
2,18-19
2,18-31
2,18-32
2,19-20
2,19-33
2,19-34
2,20-21
2,20-35
2,20-36
2,21-37
2,21-38
3,1-6
3,1-2
3,1-22
3,2-3
3,2-23
3,3-4
3,3-24
3,4-5
3,4-16
3,5-6
3,5-7
3,6-25
3,7-8
3,7-26
3,8-9
3,8-10
3,10-14
3,10-11
3,11-12
3,11-27
3,12-13
3,12-28
3,13-14
3,13-15
3,16-21
3,16-17
3,17-18
3,17-29
3,17-30
3,18-19
3,18-31
3,18-32
3,19-20
3,19-33
3,19-34
3,20-21
3,20-35
3,20-36
3,21-37
3,21-38
