Structure,Bond
1,1-6
1,1-2
1,1-18
1,2-3
1,2-19
1,3-4
1,3-17
1,4-5
1,4-8
1,5-6
1,5-7
1,6-20
1,8-9
1,8-10
1,10-11
1,11-16
1,11-12
1,12-13
1,12-21
1,13-14
1,13-22
1,14-15
1,15-16
1,15-23
1,16-24
2,1-6
2,1-2
2,1-18
2,2-3
2,2-19
2,3-4
2,3-17
2,4-5
2,4-8
2,5-6
2,5-7
2,6-20
2,8-9
2,8-10
2,10-11
2,11-16
2,11-12
2,12-13
2,12-21
2,13-14
2,13-22
2,14-15
2,15-16
2,15-23
2,16-24
3,1-6
3,1-2
3,1-18
3,2-3
3,2-19
3,3-4
3,3-17
3,4-5
3,4-8
3,5-6
3,5-7
3,6-20
3,8-9
3,8-10
3,10-11
3,10-21
3,11-16
3,11-12
3,12-13
3,12-22
3,13-14
3,13-23
3,14-15
3,15-16
3,15-24
3,16-25
