Protonated, Deprotonated
SM03_micro021,SM03_micro001
SM03_micro022,SM03_micro009
SM03_micro022,SM03_micro013
SM06_micro002,SM06_micro004
SM08_micro002,SM08_micro008
SM08_micro002,SM08_micro010
SM08_micro002,SM08_micro011
SM08_micro003,SM08_micro004
SM08_micro010,SM08_micro003
SM08_micro011,SM08_micro003
SM08_micro006,SM08_micro004
SM08_micro009,SM08_micro004
SM08_micro008,SM08_micro006
SM08_micro011,SM08_micro006
SM08_micro008,SM08_micro009
SM08_micro010,SM08_micro009
SM10_micro033,SM10_micro006
SM10_micro033,SM10_micro007
SM10_micro009,SM10_micro013
SM10_micro026,SM10_micro009
SM10_micro033,SM10_micro009
SM10_micro009,SM10_micro034
SM18_micro001,SM18_micro013
SM18_micro001,SM18_micro038
SM18_micro004,SM18_micro002
SM18_micro002,SM18_micro005
SM18_micro002,SM18_micro020
SM18_micro031,SM18_micro002
SM18_micro034,SM18_micro002
SM18_micro037,SM18_micro002
SM18_micro054,SM18_micro002
SM18_micro004,SM18_micro003
SM18_micro003,SM18_micro020
SM18_micro003,SM18_micro048
SM18_micro004,SM18_micro025
SM18_micro004,SM18_micro069
SM18_micro076,SM18_micro004
SM18_micro021,SM18_micro005
SM18_micro025,SM18_micro005
SM18_micro047,SM18_micro005
SM18_micro005,SM18_micro049
SM18_micro007,SM18_micro020
SM18_micro034,SM18_micro007
SM18_micro010,SM18_micro009
SM18_micro009,SM18_micro011
SM18_micro010,SM18_micro025
SM18_micro011,SM18_micro049
SM18_micro034,SM18_micro016
SM18_micro017,SM18_micro075
SM18_micro020,SM18_micro045
SM18_micro054,SM18_micro021
SM18_micro059,SM18_micro021
SM18_micro025,SM18_micro032
SM18_micro025,SM18_micro048
SM18_micro059,SM18_micro025
SM18_micro063,SM18_micro025
SM18_micro031,SM18_micro028
SM18_micro028,SM18_micro033
SM18_micro028,SM18_micro071
SM18_micro042,SM18_micro032
SM18_micro032,SM18_micro049
SM18_micro057,SM18_micro032
SM18_micro061,SM18_micro032
SM18_micro032,SM18_micro064
SM18_micro069,SM18_micro032
SM18_micro033,SM18_micro049
SM18_micro057,SM18_micro033
SM18_micro034,SM18_micro047
SM18_micro037,SM18_micro038
SM18_micro038,SM18_micro071
SM18_micro053,SM18_micro042
SM18_micro055,SM18_micro042
SM18_micro042,SM18_micro062
SM18_micro063,SM18_micro042
SM18_micro042,SM18_micro065
SM18_micro070,SM18_micro045
SM18_micro071,SM18_micro045
SM18_micro063,SM18_micro047
SM18_micro047,SM18_micro065
SM18_micro048,SM18_micro064
SM18_micro068,SM18_micro048
SM18_micro065,SM18_micro049
SM18_micro071,SM18_micro049
SM18_micro062,SM18_micro052
SM18_micro065,SM18_micro052
SM18_micro053,SM18_micro061
SM18_micro054,SM18_micro060
SM18_micro055,SM18_micro072
SM18_micro056,SM18_micro069
SM18_micro057,SM18_micro075
SM18_micro058,SM18_micro060
SM18_micro060,SM18_micro071
SM18_micro062,SM18_micro064
SM18_micro068,SM18_micro062
SM18_micro063,SM18_micro068
SM18_micro075,SM18_micro064
SM18_micro072,SM18_micro065
SM18_micro069,SM18_micro071
SM19_micro001,SM19_micro015
SM19_micro001,SM19_micro016
SM19_micro005,SM19_micro002
SM19_micro002,SM19_micro008
SM19_micro016,SM19_micro004
SM19_micro005,SM19_micro016
SM19_micro005,SM19_micro018
SM19_micro016,SM19_micro008
SM19_micro015,SM19_micro013
SM19_micro019,SM19_micro018
SM20_micro003,SM20_micro004
SM20_micro005,SM20_micro004
SM20_micro006,SM20_micro004
SM21_micro001,SM21_micro014
SM21_micro001,SM21_micro018
SM21_micro001,SM21_micro020
SM21_micro026,SM21_micro001
SM21_micro027,SM21_micro001
SM21_micro030,SM21_micro001
SM21_micro002,SM21_micro020
SM21_micro029,SM21_micro002
SM21_micro030,SM21_micro002
SM21_micro031,SM21_micro002
SM21_micro003,SM21_micro005
SM21_micro003,SM21_micro015
SM21_micro024,SM21_micro003
SM21_micro018,SM21_micro005
SM21_micro020,SM21_micro005
SM21_micro005,SM21_micro021
SM21_micro006,SM21_micro012
SM21_micro006,SM21_micro015
SM21_micro024,SM21_micro006
SM21_micro014,SM21_micro012
SM21_micro020,SM21_micro012
SM21_micro012,SM21_micro021
SM21_micro014,SM21_micro025
SM21_micro015,SM21_micro021
SM21_micro018,SM21_micro025
SM21_micro022,SM21_micro020
SM21_micro024,SM21_micro020
SM21_micro025,SM21_micro021
SM21_micro027,SM21_micro022
SM21_micro028,SM21_micro022
SM21_micro031,SM21_micro022
SM21_micro026,SM21_micro024
SM21_micro028,SM21_micro024
SM21_micro029,SM21_micro024
SM21_micro032,SM21_micro026
SM21_micro034,SM21_micro026
SM21_micro032,SM21_micro027
SM21_micro035,SM21_micro027
SM21_micro032,SM21_micro028
SM21_micro033,SM21_micro028
SM21_micro033,SM21_micro029
SM21_micro034,SM21_micro029
SM21_micro034,SM21_micro030
SM21_micro035,SM21_micro030
SM21_micro033,SM21_micro031
SM21_micro035,SM21_micro031
SM21_micro036,SM21_micro032
SM21_micro036,SM21_micro033
SM21_micro036,SM21_micro034
SM21_micro036,SM21_micro035
SM23_micro025,SM23_micro005
SM23_micro005,SM23_micro028
SM23_micro005,SM23_micro034
SM23_micro007,SM23_micro011
SM23_micro007,SM23_micro012
SM23_micro007,SM23_micro020
SM23_micro007,SM23_micro026
SM23_micro038,SM23_micro007
SM23_micro039,SM23_micro007
SM23_micro040,SM23_micro007
SM23_micro011,SM23_micro034
SM23_micro011,SM23_micro036
SM23_micro019,SM23_micro012
SM23_micro021,SM23_micro012
