Structure,Bond
1,1-10
1,1-2
1,1-14
1,2-3
1,2-15
1,3-8
1,3-4
1,4-5
1,4-13
1,5-6
1,5-16
1,6-7
1,6-12
1,7-8
1,7-11
1,8-9
1,9-10
1,10-17
2,1-10
2,1-2
2,1-14
2,2-3
2,2-15
2,3-8
2,3-4
2,4-5
2,4-13
2,5-6
2,5-16
2,6-7
2,6-12
2,7-8
2,7-11
2,8-9
2,9-10
2,10-17
2,11-18
3,1-10
3,1-2
3,1-14
3,2-3
3,2-15
3,3-8
3,3-4
3,4-5
3,4-13
3,5-6
3,5-16
3,6-7
3,6-12
3,7-8
3,7-11
3,8-9
3,9-10
3,9-18
3,10-17
4,1-10
4,1-2
4,1-14
4,2-3
4,2-15
4,3-8
4,3-4
4,4-5
4,4-13
4,5-6
4,5-16
4,6-7
4,6-12
4,7-8
4,7-11
4,8-9
4,9-10
4,9-19
4,10-17
4,11-18
