Structure,Bond
1,1-6
1,1-2
1,1-24
1,2-3
1,2-25
1,3-4
1,3-8
1,4-5
1,4-26
1,5-6
1,5-7
1,6-27
1,8-9
1,8-28
1,9-14
1,9-10
1,10-11
1,10-23
1,11-12
1,11-29
1,12-13
1,13-14
1,13-15
1,15-16
1,15-30
1,16-21
1,16-17
1,17-18
1,17-31
1,18-19
1,18-32
1,19-20
1,19-33
1,20-21
1,20-22
1,21-34
2,1-6
2,1-2
2,1-24
2,2-3
2,2-25
2,3-4
2,3-8
2,4-5
2,4-26
2,5-6
2,5-7
2,6-27
2,8-9
2,9-14
2,9-10
2,10-11
2,10-23
2,11-12
2,11-28
2,12-13
2,13-14
2,13-15
2,15-16
2,15-29
2,16-21
2,16-17
2,17-18
2,17-30
2,18-19
2,18-31
2,19-20
2,19-32
2,20-21
2,20-22
2,21-33
3,1-6
3,1-2
3,1-24
3,2-3
3,2-25
3,3-4
3,3-8
3,4-5
3,4-26
3,5-6
3,5-7
3,6-27
3,8-9
3,9-14
3,9-10
3,10-11
3,10-23
3,11-12
3,11-28
3,12-13
3,13-14
3,13-15
3,15-16
3,16-21
3,16-17
3,17-18
3,17-29
3,18-19
3,18-30
3,19-20
3,19-31
3,20-21
3,20-22
3,21-32
4,1-6
4,1-2
4,1-24
4,2-3
4,2-25
4,3-4
4,3-8
4,4-5
4,4-26
4,5-6
4,5-7
4,6-27
4,8-9
4,8-28
4,9-14
4,9-10
4,10-11
4,10-23
4,11-12
4,11-29
4,12-13
4,13-14
4,13-15
4,15-16
4,16-21
4,16-17
4,17-18
4,17-30
4,18-19
4,18-31
4,19-20
4,19-32
4,20-21
4,20-22
4,21-33
