Structure,Bond
1,1-6
1,1-2
1,1-32
1,2-3
1,2-33
1,3-4
1,3-34
1,4-11
1,4-5
1,5-6
1,5-7
1,6-35
1,7-8
1,7-9
1,9-31
1,9-10
1,10-11
1,10-12
1,12-13
1,12-36
1,12-37
1,13-14
1,13-38
1,13-39
1,14-15
1,14-16
1,16-17
1,16-40
1,17-21
1,17-18
1,18-19
1,19-20
1,19-41
1,20-21
1,20-22
1,22-23
1,22-42
1,22-43
1,23-28
1,23-24
1,24-25
1,24-44
1,25-26
1,25-45
1,26-27
1,26-30
1,27-28
1,27-29
1,28-46
2,1-6
2,1-32
2,1-2
2,2-33
2,2-3
2,3-34
2,3-4
2,4-5
2,4-11
2,5-7
2,5-6
2,6-35
2,7-8
2,7-9
2,9-10
2,10-11
2,10-12
2,11-31
2,12-13
2,12-36
2,12-37
2,13-14
2,13-38
2,13-39
2,14-15
2,14-16
2,16-17
2,16-40
2,17-21
2,17-18
2,18-19
2,19-20
2,19-41
2,20-21
2,20-22
2,22-23
2,22-42
2,22-43
2,23-28
2,23-24
2,24-25
2,24-44
2,25-26
2,25-45
2,26-27
2,26-30
2,27-28
2,27-29
2,28-46
3,1-6
3,1-2
3,1-32
3,2-3
3,2-33
3,3-4
3,3-34
3,4-11
3,4-5
3,5-6
3,5-7
3,6-35
3,7-8
3,7-9
3,9-31
3,9-10
3,10-11
3,10-12
3,12-13
3,12-36
3,12-37
3,13-38
3,13-39
3,13-14
3,14-16
3,14-15
3,16-17
3,17-21
3,17-18
3,18-40
3,18-19
3,19-41
3,19-20
3,20-22
3,20-21
3,22-23
3,22-42
3,22-43
3,23-28
3,23-24
3,24-25
3,24-44
3,25-26
3,25-45
3,26-27
3,26-30
3,27-28
3,27-29
3,28-46
4,1-6
4,1-2
4,1-32
4,2-3
4,2-33
4,3-4
4,3-34
4,4-11
4,4-5
4,5-6
4,5-7
4,6-35
4,7-8
4,7-9
4,9-31
4,9-10
4,10-11
4,10-12
4,12-13
4,12-36
4,12-37
4,13-38
4,13-39
4,13-14
4,14-16
4,14-15
4,16-17
4,17-21
4,17-18
4,18-40
4,18-19
4,19-41
4,19-20
4,20-22
4,20-21
4,22-23
4,22-42
4,22-43
4,23-28
4,23-24
4,24-25
4,24-44
4,25-26
4,25-45
4,26-27
4,26-30
4,27-28
4,27-29
4,28-46
5,1-6
5,1-2
5,1-32
5,2-3
5,2-33
5,3-4
5,3-34
5,4-11
5,4-5
5,5-6
5,5-7
5,6-35
5,7-8
5,7-9
5,9-31
5,9-10
5,10-11
5,10-12
5,11-47
5,12-13
5,12-36
5,12-37
5,13-14
5,13-38
5,13-39
5,14-15
5,14-16
5,16-17
5,16-40
5,17-21
5,17-18
5,18-19
5,19-20
5,19-41
5,20-21
5,20-22
5,22-23
5,22-42
5,22-43
5,23-28
5,23-24
5,24-25
5,24-44
5,25-26
5,25-45
5,26-27
5,26-30
5,27-28
5,27-29
5,28-46
6,1-6
6,1-2
6,1-31
6,2-3
6,2-32
6,3-4
6,3-33
6,4-11
6,4-5
6,5-6
6,5-7
6,6-34
6,7-8
6,7-9
6,9-10
6,10-11
6,10-12
6,12-13
6,12-35
6,12-36
6,13-14
6,13-37
6,13-38
6,14-15
6,14-16
6,16-17
6,16-39
6,17-21
6,17-18
6,18-19
6,19-20
6,19-40
6,20-21
6,20-22
6,22-23
6,22-41
6,22-42
6,23-28
6,23-24
6,24-25
6,24-43
6,25-26
6,25-44
6,26-27
6,26-30
6,27-28
6,27-29
6,28-45
